	기간	자치구	완료	완료.1	완료.2	완료.3	시행중	시행중.1	시행중.2	시행중.3
0	기간	자치구	구역수	시행면적	정비건축물동	건립가구	구역수	시행면적	정비건축물동	건립가구
1	2018	서울시	7	241,086	1,497	4,904	9	375,905	2,373	7,366
2	2018	종로구	-	-	-	-	1	15,669	76	177
3	2018	중구	1	11,392	113	199	1	58,439	389	1,215
4	2018	용산구	1	10,030	95	199	-	-	-	-
5	2018	성동구	3	152,388	911	2,970	2	78,469	506	1,749
6	2018	동대문구	1	28,148	199	584	-	-	-	-
7	2018	성북구	-	-	-	-	2	74,456	618	1,398
8	2018	강북구	-	-	-	-	1	59,465	387	1,017
9	2018	은평구	1	39,128	179	952	-	-	-	-
10	2018	서대문구	-	-	-	-	1	47,199	261	827
11	2018	구로구	-	-	-	-	1	42,208	136	983
