구분,지역,주소,위탁병원,연락처
아동,서울,서울 마포구 백범로 23 구프라자 7층 (04108),연세의료원,02-3274-1375
아동,대구,"대구 중구 국채보상로 140길 32(동인동2가 244-1) 2,3층 (41944)",경북대병원,053-421-1375
아동,인천,인천 남동구 남동대로 769 한성빌딩 2층 (21556),가천대길병원,032-423-1375
아동,광주,광주 동구 제봉로 57 웰크리닉 4층 (61486),전남대병원,062-232-1375
아동,경기,경기 성남시 분당구 판교로 471 한화빌딩 5층 (13521),분당차병원,031-708-1375
아동,충북,"충북 충주시 봉현로 222(교현동, 보성빌딩 4층)(27377)",건국대 충주병원,043-857-1375
아동,전북,전북 전주시 덕진구 백제대로 751 뱅크빌딩 2층 (54906),전북대병원,063-246-1375
위기지원형,서울동부,서울 송파구 송이로 123 경찰병원 1층 (05715),경찰병원,02-3400-1700
위기지원형,서울남부,서울 동작구 보라매로5길 20 보라매병원 희망관 2층 (07061),보라매병원,02-870-1700
위기지원형,부산동부,부산 연제구 월드컵대로 359 부산의료원 1층 (47527),부산의료원,051-501-9117
위기지원형,대구,대구 서구 평리로 157 대구의료원 건강증진센터 2층 (41845),대구의료원,053-556-8117
위기지원형,인천동부,인천 동구 방축로 217 인천의료원 (22532),인천의료원,032-582-1170
위기지원형,인천북부,인천 부평구 동수로 56 가톨릭대학교 인천성모병원(21431),카톨릭대학교 인천성모병원,032-280-5678
위기지원형,광주,광주 동구 필문대로 365 조선대학교병원 2층 (61453),조선대병원,062-225-3117
위기지원형,경기북동부,경기 의정부시 흥선로 142 의정부의료원 본관 3층 (11671),의정부의료원,031-874-3117
위기지원형,경기서부,경기 안산시 단원구 선부광장1로 186 한도병원 제2별관 2층 (15367),한도병원,031-364-8117
위기지원형,충북,충북 청주시 흥덕구 흥덕로48 청주의료원 (28547),청주의료원,043-272-7117
위기지원형,충남,충남 천안시 동남구 망향로 201 단국대학교병원 1층 (31116),단국대병원,041-567-7117
위기지원형,전북,전북 전주시 덕진구 건지로 20 전북대학교병원 응급의료센터 지하 1층 (54907),전북대병원,063-278-0117
위기지원형,전남동부,전남 순천시 순광로 221 순천성가롤로병원 별관 (57931),성가롤로병원,061-727-0117
위기지원형,경북북부,경북 안동시 태사2길 55 안동의료원 지하 1층 (36694),안동의료원,054-843-1117
위기지원형,경북서부,경북 김천시 신음1길12 (39544),김천제일병원,054-439-9600
위기지원형,경남,경남 창원시 마산합포구 3.15대로 231 마산의료원 지하 1층 (51264),마산의료원,055-245-8117
통합형,서울,서울 종로구 대학로8가길 56 동숭빌딩 2층 (03086),서울대병원,02-3672-0365
통합형,서울북부,서울 동대문구 망우로 82 서울북부해바라기센터 (02500),삼육서울병원,02-3390-4145
통합형,서울중부,서울 중구 을지로 245 (04564) (을지로 6가 18-79),국립중앙의료원,02-2266-8276
통합형,부산,부산 서구 구덕로 179 부산대학교 병원 융합의학연구동 6층 (49241),부산대병원,051-244-1375
통합형,대전,대전 중구 문화로 282 충남대학교병원 (35015),충남대병원,042-280-8436
통합형,울산,울산 남구 월평로171번길 13 울산병원 8층 (44686),울산병원,052-265-1375
통합형,경기남부(거점),"경기 수원시 영통구 월드컵로 179번길 7, 도병원약국 3층 (16502)",아주대병원,031-217-9117
통합형,경기남부(통합),"경기 수원시 영통구 월드컵로 164, 아주대병원 내 경기남부해바라기센터 거점",아주대병원,031-215-1117
통합형,경기북서부,경기 고양시 덕양구 화정로 65-1 우리프라자 5층(10497),명지병원,031-816-1375
통합형,강원서부,강원 춘천시 백령로 156 강원대학교병원 어린이병원 지하2층 (24289),강원대병원,033-252-1375
통합형,강원동부,강원 강릉시 강릉대로419번길 42 강릉동인병원 별관 (25478),강릉동인병원,033-652-9840
통합형,강원남부,강원 원주시일산동 162-33 원주세브란스기독변원(문창모기념관 4층),원주세브란스기독병원,033-741-1896
통합형,전북서부,전북 익산시 무왕로 859 원광대병원 (54538),원광대병원,063-859-1375
통합형,전남,전남 영광군 영광읍 신남로265 6층,영광기독병원,061-351-4375
통합형,경북동부,경북 포항시 남구 대잠동길 17 포항성모병원 성루가관 지하3층(37661),포항성모병원,054-278-1375
통합형,경남서부,경남 진주시 강남로 79 경상대학교병원 권역응급의료센터 3층 (52727),경상대병원,055-754-1375
통합형,제주(본관),제주 제주시 도령로 65, 2층(연동, 한라병원)(63127),한라병원,064-749-5117
통합형,제주(별관),제주 제주시 남녕로 5-3 3층 (63098),한라병원,064-748-5117
